Symbol	Name	Market
FE	FirstEnergy	S&P500
FIS	FIS	S&P500
FISV	Fiserv	S&P500
FLT	Fleetcor	S&P500
FMC	FMC Corporation	S&P500
F	Ford Motor Company	S&P500
FTNT	Fortinet	S&P500
FTV	Fortive	S&P500
FOXA	Fox Corporation (Class A)	S&P500
FOX	Fox Corporation (Class B)	S&P500
BEN	Franklin Templeton	S&P500
FCX	Freeport-McMoRan	S&P500
GRMN	Garmin	S&P500
IT	Gartner	S&P500
GEHC	GE HealthCare	S&P500
GEN	Gen Digital	S&P500
GNRC	Generac	S&P500
GD	General Dynamics	S&P500
GE	General Electric	S&P500
GIS	General Mills	S&P500
GM	General Motors	S&P500
GPC	Genuine Parts Company	S&P500
GILD	Gilead Sciences	S&P500
GL	Globe Life	S&P500
GPN	Global Payments	S&P500
GS	Goldman Sachs	S&P500
HAL	Halliburton	S&P500
HIG	Hartford (The)	S&P500
HAS	Hasbro	S&P500
HCA	HCA Healthcare	S&P500
PEAK	Healthpeak	S&P500
HSIC	Henry Schein	S&P500
HSY	Hershey's	S&P500
HES	Hess Corporation	S&P500
HPE	Hewlett Packard Enterprise	S&P500
HLT	Hilton Worldwide	S&P500
HOLX	Hologic	S&P500
HD	The Home Depot	S&P500
HON	Honeywell	S&P500
HRL	Hormel Foods	S&P500
HST	Host Hotels & Resorts	S&P500
HWM	Howmet Aerospace	S&P500
HPQ	HP Inc.	S&P500
HUM	Humana	S&P500
HBAN	Huntington Bancshares	S&P500
HII	Huntington Ingalls Industries	S&P500
IBM	IBM	S&P500
IEX	IDEX Corporation	S&P500
IDXX	Idexx Laboratories	S&P500
ITW	Illinois Tool Works	S&P500
ILMN	Illumina	S&P500
INCY	Incyte	S&P500
IR	Ingersoll Rand	S&P500
INTC	Intel	S&P500
ICE	Intercontinental Exchange	S&P500
IP	International Paper	S&P500
IPG	The Interpublic Group of Companies	S&P500
IFF	International Flavors & Fragrances	S&P500
INTU	Intuit	S&P500
ISRG	Intuitive Surgical	S&P500
IVZ	Invesco	S&P500
INVH	Invitation Homes	S&P500
IQV	IQVIA	S&P500
IRM	Iron Mountain	S&P500
JBHT	J.B. Hunt	S&P500
JKHY	Jack Henry & Associates	S&P500
J	Jacobs Solutions	S&P500
JNJ	Johnson & Johnson	S&P500
JCI	Johnson Controls	S&P500
JPM	JP Morgan Chase	S&P500
JNPR	Juniper Networks	S&P500
K	Kellogg's	S&P500
KDP	Keurig Dr Pepper	S&P500
KEY	KeyCorp	S&P500
KEYS	Keysight	S&P500
KMB	Kimberly-Clark	S&P500
KIM	Kimco Realty	S&P500
KMI	Kinder Morgan	S&P500
KLAC	KLA Corporation	S&P500
KHC	Kraft Heinz	S&P500
KR	Kroger	S&P500
LHX	L3Harris	S&P500
LH	LabCorp	S&P500
LRCX	Lam Research	S&P500
LW	Lamb Weston	S&P500
LVS	Las Vegas Sands	S&P500
LDOS	Leidos	S&P500
LEN	Lennar	S&P500
LNC	Lincoln Financial	S&P500
LIN	Linde plc	S&P500
LYV	Live Nation Entertainment	S&P500
LKQ	LKQ Corporation	S&P500
LMT	Lockheed Martin	S&P500
L	Loews Corporation	S&P500
LOW	Lowe's	S&P500
LUMN	Lumen Technologies	S&P500
LYB	LyondellBasell	S&P500
MTB	M&T Bank	S&P500
MRO	Marathon Oil	S&P500
MPC	Marathon Petroleum	S&P500
MKTX	MarketAxess	S&P500
MAR	Marriott International	S&P500
MMC	Marsh McLennan	S&P500
MLM	Martin Marietta Materials	S&P500
MAS	Masco	S&P500
MA	Mastercard	S&P500
MTCH	Match Group	S&P500
MKC	McCormick Company	S&P500
MCD	McDonald's	S&P500
MCK	McKesson	S&P500
MDT	Medtronic	S&P500
MRK	Merck & Co.	S&P500
META	Meta Platforms	S&P500
MET	MetLife	S&P500
MTD	Mettler Toledo	S&P500
MGM	MGM Resorts	S&P500
MCHP	Microchip Technology	S&P500
MU	Micron Technology	S&P500
MSFT	Microsoft	S&P500
MAA	Mid-America Apartment Communities	S&P500
MRNA	Moderna	S&P500
MHK	Mohawk Industries	S&P500
MOH	Molina Healthcare	S&P500
TAP	Molson Coors Beverage Company	S&P500
MDLZ	Mondelez International	S&P500
MPWR	Monolithic Power Systems	S&P500
MNST	Monster Beverage	S&P500
MCO	Moody's	S&P500
MS	Morgan Stanley	S&P500
MOS	The Mosaic Company	S&P500
MSI	Motorola Solutions	S&P500
MSCI	MSCI	S&P500
NDAQ	Nasdaq, Inc.	S&P500
NTAP	NetApp	S&P500
NFLX	Netflix	S&P500
NWL	Newell Brands	S&P500
NEM	Newmont	S&P500
NWSA	News Corp (Class A)	S&P500
NWS	News Corp (Class B)	S&P500
NEE	NextEra Energy	S&P500
NKE	Nike, Inc.	S&P500
NI	NiSource	S&P500
NDSN	Nordson Corporation	S&P500
