,Symbol,Name,Market,SYMBOL,cik
57,BKR,Baker Hughes,S&P500,BKR,CIK0001701605
58,BALL,Ball Corporation,S&P500,BALL,CIK0000009389
59,BAC,Bank of America,S&P500,BAC,CIK0000070858
60,BBWI,"Bath & Body Works, Inc.",S&P500,BBWI,CIK0000701985
61,BAX,Baxter International,S&P500,BAX,CIK0000010456
62,BDX,Becton Dickinson,S&P500,BDX,CIK0000010795
63,WRB,Berkley,S&P500,WRB,CIK0000011544
64,BRK.B,Berkshire Hathaway,S&P500,BRK.B,
65,BBY,Best Buy,S&P500,BBY,CIK0000764478
66,BIO,Bio-Rad,S&P500,BIO,CIK0000012208
67,TECH,Bio-Techne,S&P500,TECH,CIK0000842023
68,BIIB,Biogen,S&P500,BIIB,CIK0000875045
69,BLK,BlackRock,S&P500,BLK,CIK0001364742
70,BK,BNY Mellon,S&P500,BK,CIK0001390777
71,BA,Boeing,S&P500,BA,CIK0000012927
72,BKNG,Booking Holdings,S&P500,BKNG,CIK0001075531
73,BWA,BorgWarner,S&P500,BWA,CIK0000908255
74,BXP,Boston Properties,S&P500,BXP,CIK0001037540
75,BSX,Boston Scientific,S&P500,BSX,CIK0000885725
76,BMY,Bristol Myers Squibb,S&P500,BMY,CIK0000014272
77,AVGO,Broadcom Inc.,S&P500,AVGO,CIK0001730168
78,BR,Broadridge Financial Solutions,S&P500,BR,CIK0001383312
79,BRO,Brown & Brown,S&P500,BRO,CIK0000079282
80,BF.B,BrownForman,S&P500,BF.B,
81,CHRW,C.H. Robinson,S&P500,CHRW,CIK0001043277
82,CDNS,Cadence Design Systems,S&P500,CDNS,CIK0000813672
83,CZR,Caesars Entertainment,S&P500,CZR,CIK0001590895
84,CPT,Camden Property Trust,S&P500,CPT,CIK0000906345
85,CPB,Campbell Soup Company,S&P500,CPB,CIK0000016732
86,COF,Capital One,S&P500,COF,CIK0000927628
87,CAH,Cardinal Health,S&P500,CAH,CIK0000721371
88,KMX,CarMax,S&P500,KMX,CIK0001170010
89,CCL,Carnival,S&P500,CCL,CIK0000815097
90,CARR,Carrier Global,S&P500,CARR,CIK0001783180
91,CTLT,Catalent,S&P500,CTLT,CIK0001596783
92,CAT,Caterpillar Inc.,S&P500,CAT,CIK0000018230
93,CBOE,Cboe Global Markets,S&P500,CBOE,CIK0001374310
94,CBRE,CBRE Group,S&P500,CBRE,CIK0001138118
95,CDW,CDW,S&P500,CDW,CIK0001402057
96,CE,Celanese,S&P500,CE,CIK0001306830
97,CNC,Centene Corporation,S&P500,CNC,CIK0001071739
98,CNP,CenterPoint Energy,S&P500,CNP,CIK0001130310
99,CDAY,Ceridian,S&P500,CDAY,CIK0001725057
100,CF,CF Industries,S&P500,CF,CIK0001324404
101,CRL,Charles River Laboratories,S&P500,CRL,CIK0001100682
102,SCHW,Charles Schwab Corporation,S&P500,SCHW,CIK0000316709
103,CHTR,Charter Communications,S&P500,CHTR,CIK0001091667
104,CVX,Chevron Corporation,S&P500,CVX,CIK0000093410
105,CMG,Chipotle Mexican Grill,S&P500,CMG,CIK0001058090
106,CB,Chubb Limited,S&P500,CB,CIK0000896159
107,CHD,Church & Dwight,S&P500,CHD,CIK0000313927
108,CI,Cigna,S&P500,CI,CIK0001739940
109,CINF,Cincinnati Financial,S&P500,CINF,CIK0000020286
110,CTAS,Cintas,S&P500,CTAS,CIK0000723254
111,CSCO,Cisco,S&P500,CSCO,CIK0000858877
112,C,Citigroup,S&P500,C,CIK0000831001
113,CFG,Citizens Financial Group,S&P500,CFG,CIK0000759944
114,CLX,Clorox,S&P500,CLX,CIK0000021076
115,CME,CME Group,S&P500,CME,CIK0001156375
116,CMS,CMS Energy,S&P500,CMS,CIK0000811156
117,KO,The Coca-Cola Company,S&P500,KO,CIK0000021344
118,CTSH,Cognizant,S&P500,CTSH,CIK0001058290
119,CL,Colgate-Palmolive,S&P500,CL,CIK0000021665
120,CMCSA,Comcast,S&P500,CMCSA,CIK0001166691
121,CMA,Comerica,S&P500,CMA,CIK0000028412
122,CAG,ConAgra Foods,S&P500,CAG,CIK0000023217
123,COP,ConocoPhillips,S&P500,COP,CIK0001163165
124,ED,Consolidated Edison,S&P500,ED,CIK0001047862
125,STZ,Constellation Brands,S&P500,STZ,CIK0000016918
126,CEG,Constellation Energy,S&P500,CEG,CIK0001868275
127,COO,CooperCompanies,S&P500,COO,CIK0000711404
128,CPRT,Copart,S&P500,CPRT,CIK0000900075
129,GLW,Corning Inc.,S&P500,GLW,CIK0000024741
130,CTVA,Corteva,S&P500,CTVA,CIK0001755672
131,CSGP,CoStar Group,S&P500,CSGP,CIK0001057352
132,COST,Costco,S&P500,COST,CIK0000909832
133,CTRA,Coterra,S&P500,CTRA,CIK0000858470
134,CCI,Crown Castle,S&P500,CCI,CIK0001051470
135,CSX,CSX,S&P500,CSX,CIK0000277948
136,CMI,Cummins,S&P500,CMI,CIK0000026172
137,CVS,CVS Health,S&P500,CVS,CIK0000064803
138,DHI,D.R. Horton,S&P500,DHI,CIK0000882184
139,DHR,Danaher Corporation,S&P500,DHR,CIK0000313616
140,DRI,Darden Restaurants,S&P500,DRI,CIK0000940944
141,DVA,DaVita Inc.,S&P500,DVA,CIK0000927066
142,DE,John Deere,S&P500,DE,CIK0000315189
143,DAL,Delta Air Lines,S&P500,DAL,CIK0000027904
144,XRAY,Dentsply Sirona,S&P500,XRAY,CIK0000818479
145,DVN,Devon Energy,S&P500,DVN,CIK0001090012
146,DXCM,Dexcom,S&P500,DXCM,CIK0001093557
147,FANG,Diamondback Energy,S&P500,FANG,CIK0001539838
148,DLR,Digital Realty,S&P500,DLR,CIK0001297996
149,DFS,Discover Financial,S&P500,DFS,CIK0001393612
150,DISH,Dish Network,S&P500,DISH,CIK0001001082
151,DIS,Disney,S&P500,DIS,CIK0001744489
152,DG,Dollar General,S&P500,DG,CIK0000029534
153,DLTR,Dollar Tree,S&P500,DLTR,CIK0000935703
154,D,Dominion Energy,S&P500,D,CIK0000715957
155,DPZ,Domino's,S&P500,DPZ,CIK0001286681
156,DOV,Dover Corporation,S&P500,DOV,CIK0000029905
157,DOW,Dow Inc.,S&P500,DOW,CIK0001751788
158,DTE,DTE Energy,S&P500,DTE,CIK0000936340
159,DUK,Duke Energy,S&P500,DUK,CIK0001326160
160,DD,DuPont,S&P500,DD,CIK0001666700
161,DXC,DXC Technology,S&P500,DXC,CIK0001688568
162,EMN,Eastman Chemical Company,S&P500,EMN,CIK0000915389
163,ETN,Eaton Corporation,S&P500,ETN,CIK0001551182
164,EBAY,eBay,S&P500,EBAY,CIK0001065088
165,ECL,Ecolab,S&P500,ECL,CIK0000031462
166,EIX,Edison International,S&P500,EIX,CIK0000827052
167,EW,Edwards Lifesciences,S&P500,EW,CIK0001099800
168,EA,Electronic Arts,S&P500,EA,CIK0000712515
169,ELV,Elevance Health,S&P500,ELV,CIK0001156039
170,LLY,Eli Lilly and Company,S&P500,LLY,CIK0000059478
171,EMR,Emerson Electric,S&P500,EMR,CIK0000032604
172,ENPH,Enphase,S&P500,ENPH,CIK0001463101
173,ETR,Entergy,S&P500,ETR,CIK0000065984
174,EOG,EOG Resources,S&P500,EOG,CIK0000821189
175,EPAM,EPAM Systems,S&P500,EPAM,CIK0001352010
176,EQT,EQT,S&P500,EQT,CIK0000033213
177,EFX,Equifax,S&P500,EFX,CIK0000033185
178,EQIX,Equinix,S&P500,EQIX,CIK0001101239
179,EQR,Equity Residential,S&P500,EQR,CIK0000906107
180,ESS,Essex Property Trust,S&P500,ESS,CIK0000920522
181,EL,The Estée Lauder Companies,S&P500,EL,CIK0001001250
182,ETSY,Etsy,S&P500,ETSY,CIK0001370637
183,RE,Everest Re,S&P500,RE,CIK0001095073
184,EVRG,Evergy,S&P500,EVRG,CIK0001711269
185,ES,Eversource,S&P500,ES,CIK0000072741
186,EXC,Exelon,S&P500,EXC,CIK0001109357
187,EXPE,Expedia Group,S&P500,EXPE,CIK0001324424
188,EXPD,Expeditors International,S&P500,EXPD,CIK0000746515
189,EXR,Extra Space Storage,S&P500,EXR,CIK0001289490
190,XOM,ExxonMobil,S&P500,XOM,CIK0000034088
191,FFIV,"F5, Inc.",S&P500,FFIV,CIK0001048695
192,FDS,FactSet,S&P500,FDS,CIK0001013237
193,FAST,Fastenal,S&P500,FAST,CIK0000815556
194,FRT,Federal Realty,S&P500,FRT,CIK0000034903
195,FDX,FedEx,S&P500,FDX,CIK0001048911
196,FITB,Fifth Third Bank,S&P500,FITB,CIK0000035527
197,FRC,First Republic Bank,S&P500,FRC,CIK0001132979
198,FSLR,First Solar,S&P500,FSLR,CIK0001274494
199,FE,FirstEnergy,S&P500,FE,CIK0001031296
200,FIS,FIS,S&P500,FIS,CIK0001136893
201,FISV,Fiserv,S&P500,FISV,CIK0000798354
202,FLT,Fleetcor,S&P500,FLT,CIK0001175454
203,FMC,FMC Corporation,S&P500,FMC,CIK0000037785
204,F,Ford Motor Company,S&P500,F,CIK0000037996
205,FTNT,Fortinet,S&P500,FTNT,CIK0001262039
206,FTV,Fortive,S&P500,FTV,CIK0001659166
207,FOXA,Fox Corporation (Class A),S&P500,FOXA,CIK0001754301
208,FOX,Fox Corporation (Class B),S&P500,FOX,CIK0001754301
