SYMBOL,DESCRIPTION,ticker,cik,TICKER,CIK
ALRN,AILERON THERAPEUTICS INC COM N,ALRN,CIK0001420565,ALRN,CIK0001420565
AIM,AIM IMMUNOTECH INC COM,AIM,CIK0000946644,AIM,CIK0000946644
AIRT,AIR T INC,AIRT,CIK0000353184,AIRT,CIK0000353184
AKRO,AKERO THERAPEUTICS INC COM,AKRO,CIK0001744659,AKRO,CIK0001744659
AGI,ALAMOS GOLD INC NEW COM CL A (,AGI,CIK0001178819,AGI,CIK0001178819
ALB,ALBEMARLE CORP,ALB,CIK0000915913,ALB,CIK0000915913
AA,ALCOA UPSTREAM CORP COM STK(DE,AA,CIK0001675149,AA,CIK0001675149
ALDX,"ALDEYRA THERAPEUTICS, INC. COM",ALDX,CIK0001341235,ALDX,CIK0001341235
ALGN,ALIGN TECHNOLOGY INC,ALGN,CIK0001097149,ALGN,CIK0001097149
ALIT,ALIGHT INC. CL A (DE),ALIT,CIK0001809104,ALIT,CIK0001809104
BIRD,ALLBIRDS INC COM CL A,BIRD,CIK0001653909,BIRD,CIK0001653909
ALGT,ALLEGIANT TRAVEL COMPANY COM,ALGT,CIK0001362468,ALGT,CIK0001362468
ALGM,ALLEGRO MICROSYSTEMS INC DEL C,ALGM,CIK0000866291,ALGM,CIK0000866291
ALE,ALLETE INC NEW,ALE,CIK0000066756,ALE,CIK0000066756
MDRX,VERADIGM INC. COMMON STOCK(DE),MDRX,CIK0001124804,MDRX,CIK0001124804
AYX,ALTERYX INC COM CL A,AYX,CIK0001689923,AYX,CIK0001689923
ALCC,ALTC ACQUISITION CORP CL A (DE,ALCC,CIK0001849056,ALCC,CIK0001849056
KNTK,KINETIK HOLDINGS INC CL A,KNTK,CIK0001692787,KNTK,CIK0001692787
AMPS,ALTUS PWR INC,AMPS,CIK0001828723,AMPS,CIK0001828723
DIT,AMCON DISTRIBUTING CO,DIT,CIK0000928465,DIT,CIK0000928465
AMED,AMEDISYS INC,AMED,CIK0000896262,AMED,CIK0000896262
AMRC,"AMERESCO, INC. CL A COM STK",AMRC,CIK0001488139,AMRC,CIK0001488139
AAL,AMERICAN AIRLINES GROUP INC CO,AAL,CIK0000006201,AAL,CIK0000006201
AXL,AMER AXLE & MANUFACTURING HLDG,AXL,CIK0001062231,AXL,CIK0001062231
CRYO,AMERICAN CRYOSTEM CORPORATION.,CRYO,CIK0001468679,CRYO,CIK0001468679
AFGC,AMERICAN FINL GROUP INC OHIO S,AFGC,CIK0001042046,AFGC,CIK0001042046
RTLPP,THE NECESSITY RETAIL REIT INC.,RTLPP,CIK0001568162,RTLPP,CIK0001568162
AREC,AMERICAN RES CORP COM NEW,AREC,CIK0001590715,AREC,CIK0001590715
AMSWA,AMER SOFTWARE INC CL-A,AMSWA,CIK0000713425,AMSWA,CIK0000713425
AMT,AMERICAN TOWER CORP REIT (DE) ,AMT,CIK0001053507,AMT,CIK0001053507
AVD,AMERICAN VANGUARD CORP,AVD,CIK0000005981,AVD,CIK0000005981
AMGN,AMGEN INC,AMGN,CIK0000318154,AMGN,CIK0000318154
AP,AMPCO PITTSBURGH CORP,AP,CIK0000006176,AP,CIK0000006176
AMPY,AMPLIFY ENERGY CORP NEW COM (D,AMPY,CIK0001533924,AMPY,CIK0001533924
AMPL,AMPLITUDE INC COM CL A,AMPL,CIK0001866692,AMPL,CIK0001866692
AMLX,AMYLYX PHARMACEUTICALS INC COM,AMLX,CIK0001658551,AMLX,CIK0001658551
ADI,ANALOG DEVICES INC,ADI,CIK0000006281,ADI,CIK0000006281
ANAB,ANAPTYSBIO INC COM STK (DE),ANAB,CIK0001370053,ANAB,CIK0001370053
ANLDF,ANFIELD ENERGY INC (CANADA),ANLDF,CIK0001519469,ANLDF,CIK0001519469
AOMR,ANGEL OAK MORTGAGE REIT INC,AOMR,CIK0001766478,AOMR,CIK0001766478
ANGO,ANGIODYNAMICS INC,ANGO,CIK0001275187,ANGO,CIK0001275187
AU,ANGLOGOLD ASHANTI LIMITEDADS (,AU,CIK0001067428,AU,CIK0001067428
ANNX,ANNEXON INC COM,ANNX,CIK0001528115,ANNX,CIK0001528115
ANSS,ANSYS INC,ANSS,CIK0001013462,ANSS,CIK0001013462
AIRC,APARTMENT INCOME REIT CORP COM,AIRC,CIK0001820877,AIRC,CIK0001820877
APLS,APELLIS PHARMACEUTICALS INC CO,APLS,CIK0001492422,APLS,CIK0001492422
